tweet_id,text,Label
5.70E+17,@JetBlue hi is there a way we can check to track the flight that will arrive &amp; that will be our flight to depart.,1
5.69E+17,@United @Skywest do it again!   I will now miss one or probably both our Aspen events. #Fail,-1
5.68E+17,@united #UnitedAirlines wont wait 10min for fam w 2yr old connecting. flight leaves early instead for airport that is planes last stop today,-1
5.70E+17,@united Yes. To Boston. I was going to Providence.,1
5.70E+17,Why? _ôÖÍ RT @JetBlue Our fleet's on fleek. http://t.co/I7Ut2ZvHCO,1
5.69E+17,@united how long does it take for customer feedback to respond to a complaint?,-1
5.70E+17,@USAirways Everyone is sorry.  Don't have what I need for meeting tomorrow.  140 charac. isn't nearly enough to highlight your shortcomings,-1
5.70E+17,"@JetBlue I understand delays.  We are all looking at a tv monitor at ur gate and it says current conditions are snow, hence delay.",-1
5.70E+17,@USAirways @AmericanAir any help regarding flights out of KPHL would be much appreciated,1
5.70E+17,@united The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...,-1
5.69E+17,@SouthwestAir hv wounded vet stuck in Chi. He's traveling to NY 4 healing. Need fly ny latest AM by 9 2 catch intl flt. Help!,1
5.68E+17,"@united Well, It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:)",1
5.70E+17,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places...",1
5.70E+17,@JetBlue äó»s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,-1
5.69E+17,@united looking back - never heard from anyone - I had to call and frankly got standard SOP - still think about it today,-1
5.70E+17,@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.,1
5.69E+17,"@USAirways Stars aligned. Connecting flight was delayed into CLT. Made it! Thanks, glad to know someone is listening. Time for 80ŒÁ in MoBay!",1
5.68E+17,"@USAirways booked an award ticket recently, now same ticket is less miles. how do I contact you without using the online form or phone?",1
5.69E+17,"@USAirways Have a 6:05pm flight out of PHL Sat, 2/21. Snow expected. Are we able to switch to an earlier flight without penalty?",1
5.70E+17,@SouthwestAir have u seen any of the messages the past hour ?,1
5.68E+17,@USAirways 1917. Thanks for the 5 hour layover in LA too_ôïç Icing on the cake. At least your staff was courteous and helpful.. Not #unreal,-1
5.68E+17,"@united no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies.""",1
5.70E+17,@AmericanAir I DM'd you. Anything you can do?,1
5.69E+17,@united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,-1
5.69E+17,@USAirways Thank you. But I donäó»t understand. What will you do with my feedback?,-1
5.70E+17,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!",1
5.70E+17,äóì@AmericanAir: Bet these birds wish they'd flown south for the #winter... http://t.co/tY9C0Gae2oäóù Lol,1
5.70E+17,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee,-1
5.70E+17,_ôÖ‰_ôÖ‰_ôÖ‰ äóì@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txDäóù,1
5.68E+17,@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her,1
5.68E+17,@SouthwestAir @Imaginedragons  Did they pick someone for Destination Dragons?,1
5.68E+17,"@united No, not received any e-mails in either Inbox or junk/spam",1
5.68E+17,@united I'm not booked on a 1:30 return flight..,1
5.70E+17,@united like continental's chicken feat fairs,1
5.68E+17,@JetBlue My card company and I explained the issue over the phone when I was in Mexico. I purchased a new ticket over the phone.,1
5.70E+17,@AmericanAir so whats the hold up on flight 4302?,-1
5.68E+17,@JetBlue the free wifi makes up for the television not working... It's staticy #ithelpsabit,1
5.68E+17,"@USAirways Darn it, first in line for no upgrade! Wish I understood the policy. :) http://t.co/xGPaAyFDwt",1
5.70E+17,@united i need help but in spanish,1
5.68E+17,"@USAirways sorry, I meant flight 4420, which was supposed to depart at 5:00, now says 6:30. What is the issue?",1
5.70E+17,@SouthwestAir  how many others didn't know you are stopping non stop flights to ATL and from to Hartford Ct as of April ?,-1
5.70E+17,@JetBlue does not fit in 140,1
5.70E+17,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,-1
5.70E+17,@AmericanAir  my fly is 1579  if do you have some news,1
5.70E+17,@JetBlue I would like the actual email address so I can follow up. thank you.,1
5.68E+17,@USAirways I just hope that pilot had a good day off,1
5.70E+17,@AmericanAir No worries. Don't blame you for weather.,1
5.68E+17,"@united take a lesson from @VirginAmerica , they know how to treat customers!",-1
5.70E+17,@SouthwestAir The problem is apologies don't help. Results matter and it's proving impossible to find anyone who is interested in that.,-1
